,Importance
terrorist,0.008411533360110851
terrorism,0.0043715137061470346
palestine,0.003962152329665054
president_bush,0.002531509569894865
israel,0.002443961346152589
typhus,0.0023565342933566805
iraq,0.0023430688284514505
declare,0.0022219792239378745
terrorist_attack,0.002169982694618636
israeli,0.002113523338696011
bush_administration,0.0021078374256100724
german,0.0018699660476058197
communist,0.0018277065935924707
french,0.0018138452775407717
british,0.0017677297420976008
sept_attack,0.0015961837747869483
afghanistan,0.0015757779108068225
prime_minister,0.0015182039575652986
attack,0.0014848332137557309
russian,0.0014786435102667058
germany,0.0014753508538133525
russia,0.0014579142785236948
otis,0.0014536009016466902
typhu,0.0014481684226037102
early,0.001429343666814276
spokesman,0.001418410493193326
jewish,0.0014015593136229708
security,0.0013658510924488914
algeria,0.001353504507763929
arab,0.001328122483391385
outrage,0.001319159101971723
greek,0.0012972280163129817
bombing,0.0012763737850371014
senior,0.001251755486075208
special,0.001233397973924429
purpose,0.0012013652927862592
letter,0.0011985571446568608
target,0.0011750307078481558
system,0.0011538012524620188
bush,0.0011522853362351004
kill,0.0011461851517215356
south,0.0011338780428216627
military,0.0011335936503914057
gaze,0.0011105465493710476
condition,0.0011092214418071782
palestinian,0.0011078781036449744
force,0.0011054644115180774
nationalist,0.0010632500096169077
regard,0.0010497462710072542
war,0.0010436800329343891
