Period,Replicate,Target,Token,Rank,Target_in_vocab,Vocab_size
1851-1900,0,terrorism,klan,34.0,True,12203
1851-1900,0,terrorism,fair_election,2083.0,True,12203
1851-1900,0,terrorism,intimidation_violence,249.0,True,12203
1851-1900,0,terrorism,georgia_alabama,25.0,True,12203
1851-1900,0,terrorism,alabama_arkansas,48.0,True,12203
1851-1900,0,terrorism,practical_disfranchisement,5.0,True,12203
1851-1900,0,terrorist,repression,3.0,True,12203
1851-1900,0,terrorist,brute_force,1152.0,True,12203
1851-1900,0,terrorist,reign_terror,31.0,True,12203
1851-1900,1,terrorism,klan,41.0,True,12186
1851-1900,1,terrorism,fair_election,154.0,True,12186
1851-1900,1,terrorism,intimidation_violence,101.0,True,12186
1851-1900,1,terrorism,georgia_alabama,77.0,True,12186
1851-1900,1,terrorism,alabama_arkansas,16.0,True,12186
1851-1900,1,terrorism,practical_disfranchisement,,True,12186
1851-1900,1,terrorist,repression,1868.0,True,12186
1851-1900,1,terrorist,brute_force,7.0,True,12186
1851-1900,1,terrorist,reign_terror,66.0,True,12186
1851-1900,2,terrorism,klan,789.0,True,12455
1851-1900,2,terrorism,fair_election,695.0,True,12455
1851-1900,2,terrorism,intimidation_violence,3942.0,True,12455
1851-1900,2,terrorism,georgia_alabama,121.0,True,12455
1851-1900,2,terrorism,alabama_arkansas,57.0,True,12455
1851-1900,2,terrorism,practical_disfranchisement,,True,12455
1851-1900,2,terrorist,repression,1107.0,True,12455
1851-1900,2,terrorist,brute_force,15.0,True,12455
1851-1900,2,terrorist,reign_terror,6.0,True,12455
1851-1900,3,terrorism,klan,814.0,True,12606
1851-1900,3,terrorism,fair_election,620.0,True,12606
1851-1900,3,terrorism,intimidation_violence,322.0,True,12606
1851-1900,3,terrorism,georgia_alabama,992.0,True,12606
1851-1900,3,terrorism,alabama_arkansas,61.0,True,12606
1851-1900,3,terrorism,practical_disfranchisement,8694.0,True,12606
1851-1900,3,terrorist,repression,381.0,True,12606
1851-1900,3,terrorist,brute_force,28.0,True,12606
1851-1900,3,terrorist,reign_terror,18.0,True,12606
1851-1900,4,terrorism,klan,88.0,True,12587
1851-1900,4,terrorism,fair_election,58.0,True,12587
1851-1900,4,terrorism,intimidation_violence,5.0,True,12587
1851-1900,4,terrorism,georgia_alabama,471.0,True,12587
1851-1900,4,terrorism,alabama_arkansas,19.0,True,12587
1851-1900,4,terrorism,practical_disfranchisement,9.0,True,12587
1851-1900,4,terrorist,repression,532.0,True,12587
1851-1900,4,terrorist,brute_force,525.0,True,12587
1851-1900,4,terrorist,reign_terror,10.0,True,12587
1851-1900,5,terrorism,klan,1556.0,True,12898
1851-1900,5,terrorism,fair_election,1057.0,True,12898
1851-1900,5,terrorism,intimidation_violence,110.0,True,12898
1851-1900,5,terrorism,georgia_alabama,139.0,True,12898
1851-1900,5,terrorism,alabama_arkansas,1299.0,True,12898
1851-1900,5,terrorism,practical_disfranchisement,,True,12898
1851-1900,5,terrorist,repression,2.0,True,12898
1851-1900,5,terrorist,brute_force,1.0,True,12898
1851-1900,5,terrorist,reign_terror,14.0,True,12898
1851-1900,6,terrorism,klan,758.0,True,12165
1851-1900,6,terrorism,fair_election,280.0,True,12165
1851-1900,6,terrorism,intimidation_violence,50.0,True,12165
1851-1900,6,terrorism,georgia_alabama,54.0,True,12165
1851-1900,6,terrorism,alabama_arkansas,7.0,True,12165
1851-1900,6,terrorism,practical_disfranchisement,,True,12165
1851-1900,6,terrorist,repression,1.0,True,12165
1851-1900,6,terrorist,brute_force,47.0,True,12165
1851-1900,6,terrorist,reign_terror,3.0,True,12165
1851-1900,7,terrorism,klan,507.0,True,11796
1851-1900,7,terrorism,fair_election,226.0,True,11796
1851-1900,7,terrorism,intimidation_violence,731.0,True,11796
1851-1900,7,terrorism,georgia_alabama,49.0,True,11796
1851-1900,7,terrorism,alabama_arkansas,10.0,True,11796
1851-1900,7,terrorism,practical_disfranchisement,653.0,True,11796
1851-1900,7,terrorist,repression,151.0,True,11796
1851-1900,7,terrorist,brute_force,1735.0,True,11796
1851-1900,7,terrorist,reign_terror,214.0,True,11796
1851-1900,8,terrorism,klan,17.0,True,12787
1851-1900,8,terrorism,fair_election,67.0,True,12787
1851-1900,8,terrorism,intimidation_violence,51.0,True,12787
1851-1900,8,terrorism,georgia_alabama,22.0,True,12787
1851-1900,8,terrorism,alabama_arkansas,2.0,True,12787
1851-1900,8,terrorism,practical_disfranchisement,,True,12787
1851-1900,8,terrorist,repression,16.0,True,12787
1851-1900,8,terrorist,brute_force,2676.0,True,12787
1851-1900,8,terrorist,reign_terror,20.0,True,12787
1851-1900,9,terrorism,klan,4363.0,True,11901
1851-1900,9,terrorism,fair_election,1972.0,True,11901
1851-1900,9,terrorism,intimidation_violence,332.0,True,11901
1851-1900,9,terrorism,georgia_alabama,189.0,True,11901
1851-1900,9,terrorism,alabama_arkansas,38.0,True,11901
1851-1900,9,terrorism,practical_disfranchisement,91.0,True,11901
1851-1900,9,terrorist,repression,6.0,True,11901
1851-1900,9,terrorist,brute_force,,True,11901
1851-1900,9,terrorist,reign_terror,8.0,True,11901
1851-1900,10,terrorism,klan,388.0,True,12959
1851-1900,10,terrorism,fair_election,2252.0,True,12959
1851-1900,10,terrorism,intimidation_violence,436.0,True,12959
1851-1900,10,terrorism,georgia_alabama,474.0,True,12959
1851-1900,10,terrorism,alabama_arkansas,225.0,True,12959
1851-1900,10,terrorism,practical_disfranchisement,,True,12959
1851-1900,10,terrorist,repression,19.0,True,12959
1851-1900,10,terrorist,brute_force,94.0,True,12959
1851-1900,10,terrorist,reign_terror,124.0,True,12959
1851-1900,11,terrorism,klan,5151.0,True,12372
