Period,Target,Token,B,n_in_vocab,share_top25,share_top100,median_rank,IQR_low,IQR_high,min_rank,max_rank
1851-1900,terrorism,alabama_arkansas,50,47,0.34,0.54,61.0,11.5,229.5,1.0,4333.0
1851-1900,terrorism,georgia_alabama,50,44,0.2,0.5,65.5,32.5,270.0,2.0,3994.0
1851-1900,terrorism,intimidation_violence,50,50,0.16,0.36,167.0,50.25,692.25,2.0,3942.0
1851-1900,terrorism,practical_disfranchisement,50,32,0.04,0.12,400.0,166.75,972.5,5.0,8694.0
1851-1900,terrorism,fair_election,50,50,0.02,0.22,412.0,110.25,1220.25,4.0,9129.0
1851-1900,terrorism,klan,50,50,0.04,0.16,709.0,142.5,1545.0,1.0,5151.0
1851-1900,terrorist,reign_terror,50,50,0.46,0.9,31.0,10.0,48.75,1.0,227.0
1851-1900,terrorist,repression,50,50,0.42,0.66,48.5,10.75,164.5,1.0,4647.0
1851-1900,terrorist,brute_force,50,45,0.22,0.44,146.0,27.0,883.0,1.0,9306.0
1901-1930,terrorism,bulgar,50,26,0.36,0.44,4.5,2.0,29.5,1.0,749.0
1901-1930,terrorism,social_revolutionist,50,50,0.44,0.76,34.5,17.0,90.75,2.0,2289.0
1901-1930,terrorism,socialist_revolutionary,50,49,0.26,0.52,69.0,22.0,351.0,2.0,1663.0
1901-1930,terrorism,assassination,50,50,0.08,0.24,185.5,114.25,426.5,5.0,2448.0
1901-1930,terrorist,night_rider,50,39,0.18,0.52,45.0,26.5,153.5,5.0,686.0
1931-1950,terrorism,bombing,50,50,0.88,1.0,3.0,2.0,9.0,1.0,82.0
1931-1950,terrorism,nazis,50,50,0.94,1.0,3.0,2.0,5.75,1.0,73.0
1931-1950,terrorism,jews,50,50,0.8,0.92,8.5,4.0,16.75,1.0,713.0
1931-1950,terrorism,reich,50,50,0.74,0.94,10.0,4.25,27.25,1.0,592.0
1931-1950,terrorism,zionist,50,50,0.28,0.62,63.0,22.25,162.25,5.0,3319.0
1931-1950,terrorism,klan,50,50,0.1,0.54,78.0,38.5,219.75,15.0,1455.0
1931-1950,terrorism,malaya,50,49,0.26,0.46,111.0,24.0,316.0,3.0,1889.0
1931-1950,terrorism,holy_war,50,49,0.08,0.24,336.0,101.0,820.0,9.0,3030.0
1931-1950,terrorism,bombay_india,50,28,0.06,0.12,339.0,108.75,1068.75,8.0,7526.0
1951-1960,terrorism,slay,50,50,0.5,0.72,25.0,4.25,147.75,1.0,1030.0
1951-1960,terrorism,kill_injure,50,48,0.4,0.6,41.0,11.75,161.0,1.0,606.0
1951-1960,terrorism,mau_mau,50,50,0.28,0.48,105.0,22.5,268.0,2.0,1617.0
1951-1960,terrorism,cameroon,50,48,0.22,0.38,165.5,35.0,354.25,4.0,2832.0
1951-1960,terrorism,north_africans,50,49,0.16,0.36,190.0,67.0,375.0,6.0,2005.0
1951-1960,terrorism,counterterrorist,50,36,0.06,0.26,232.5,78.25,518.5,7.0,1241.0
1951-1960,terrorism,jakarta_indonesia,50,45,0.06,0.2,247.0,128.0,506.0,13.0,1513.0
1951-1960,terrorism,antiterrorist_drive,50,27,0.04,0.08,363.0,129.0,724.0,15.0,2367.0
1951-1960,terrorist,south_vietnam,50,50,0.14,0.2,308.5,123.0,737.75,5.0,4008.0
