TASK A — Bootstrap rank stability (B=50, CBOW, original per-period hyperparameters,
document resampling with replacement, seed=123+replicate, workers=4)
Rank = exact position in cosine-neighbor list of target (NA if token below min_count in replicate).
share_top25/share_top100 treat NA (absent from vocab) as NOT in top-k.

   Period    Target                      Token  B  n_in_vocab  share_top25  share_top100  median_rank  IQR_low  IQR_high  min_rank  max_rank
1851-1900 terrorism           alabama_arkansas 50          47         0.34          0.54        61.00    11.50    229.50      1.00   4333.00
1851-1900 terrorism            georgia_alabama 50          44         0.20          0.50        65.50    32.50    270.00      2.00   3994.00
1851-1900 terrorism      intimidation_violence 50          50         0.16          0.36       167.00    50.25    692.25      2.00   3942.00
1851-1900 terrorism practical_disfranchisement 50          32         0.04          0.12       400.00   166.75    972.50      5.00   8694.00
1851-1900 terrorism              fair_election 50          50         0.02          0.22       412.00   110.25   1220.25      4.00   9129.00
1851-1900 terrorism                       klan 50          50         0.04          0.16       709.00   142.50   1545.00      1.00   5151.00
1851-1900 terrorist               reign_terror 50          50         0.46          0.90        31.00    10.00     48.75      1.00    227.00
1851-1900 terrorist                 repression 50          50         0.42          0.66        48.50    10.75    164.50      1.00   4647.00
1851-1900 terrorist                brute_force 50          45         0.22          0.44       146.00    27.00    883.00      1.00   9306.00
1901-1930 terrorism                     bulgar 50          26         0.36          0.44         4.50     2.00     29.50      1.00    749.00
1901-1930 terrorism       social_revolutionist 50          50         0.44          0.76        34.50    17.00     90.75      2.00   2289.00
1901-1930 terrorism    socialist_revolutionary 50          49         0.26          0.52        69.00    22.00    351.00      2.00   1663.00
1901-1930 terrorism              assassination 50          50         0.08          0.24       185.50   114.25    426.50      5.00   2448.00
1901-1930 terrorist                night_rider 50          39         0.18          0.52        45.00    26.50    153.50      5.00    686.00
1931-1950 terrorism                    bombing 50          50         0.88          1.00         3.00     2.00      9.00      1.00     82.00
1931-1950 terrorism                      nazis 50          50         0.94          1.00         3.00     2.00      5.75      1.00     73.00
1931-1950 terrorism                       jews 50          50         0.80          0.92         8.50     4.00     16.75      1.00    713.00
1931-1950 terrorism                      reich 50          50         0.74          0.94        10.00     4.25     27.25      1.00    592.00
1931-1950 terrorism                    zionist 50          50         0.28          0.62        63.00    22.25    162.25      5.00   3319.00
1931-1950 terrorism                       klan 50          50         0.10          0.54        78.00    38.50    219.75     15.00   1455.00
1931-1950 terrorism                     malaya 50          49         0.26          0.46       111.00    24.00    316.00      3.00   1889.00
1931-1950 terrorism                   holy_war 50          49         0.08          0.24       336.00   101.00    820.00      9.00   3030.00
1931-1950 terrorism               bombay_india 50          28         0.06          0.12       339.00   108.75   1068.75      8.00   7526.00
1951-1960 terrorism                       slay 50          50         0.50          0.72        25.00     4.25    147.75      1.00   1030.00
1951-1960 terrorism                kill_injure 50          48         0.40          0.60        41.00    11.75    161.00      1.00    606.00
1951-1960 terrorism                    mau_mau 50          50         0.28          0.48       105.00    22.50    268.00      2.00   1617.00
1951-1960 terrorism                   cameroon 50          48         0.22          0.38       165.50    35.00    354.25      4.00   2832.00
1951-1960 terrorism             north_africans 50          49         0.16          0.36       190.00    67.00    375.00      6.00   2005.00
1951-1960 terrorism           counterterrorist 50          36         0.06          0.26       232.50    78.25    518.50      7.00   1241.00
1951-1960 terrorism          jakarta_indonesia 50          45         0.06          0.20       247.00   128.00    506.00     13.00   1513.00
1951-1960 terrorism        antiterrorist_drive 50          27         0.04          0.08       363.00   129.00    724.00     15.00   2367.00
1951-1960 terrorist              south_vietnam 50          50         0.14          0.20       308.50   123.00    737.75      5.00   4008.00

Total runtime: 35.8 min
