Replicate,Target,Top25,n_klan,n_racial_electoral,n_state_terror
0,terrorism,"mississippi, salutary, homicidal, oxford_miss, tice, undispute, civil_liberty, leagues, arkansas, obsequious, disunion, outrage, vice_presidency, fraud_intimidation, deprive_right, georgia_alabama, forty_thousand, jefferson, moore, practical_disfranchisement, premeditate, border_ruffian, unsolved, boat_ply, instill",0,5,0
0,terrorist,"black_tea, hateful, repression, landlordism, espionage, wise_counsel, corruption, explicitly_exclude, solitary_confinement, congress_adjourn, unwarrantable, prohibitory, brigandage, cruelty, letter_carrier, favoritism, settle_score, ostracism, custer, reign_terror, strong_feeling, spy, reestablish, communism, coquette",0,0,2
1,terrorism,"louisiana_mississippi, preserved, arkansas, except_rare, outrage_commit, fraud_intimidation, alabama_arkansas, beneficial_effect, repugnant, adams, passport, approximate, conceivable, grave_suspicion, favorite_resort, refund, georgia_alabama, jackson_miss, klan, duration_intensity, pervade, detailed, radically_wrong, reign_terror, excessive_taxation",1,6,1
1,terrorist,"violence_intimidation, brigandage, legalize, arkansas_mississippi, needy, intimidation, pretty_thoroughly, selfish, wrongdoer, violence_lawlessness, catholics, fraud_intimidation, disorderly, roast, reign_terror, immature, atrocity, ostracism, impunity, signing, commendable, restrain, motor, brute_force, hateful",0,2,2
2,terrorism,"express_sentiment, lawlessness, vicious, letters_times, ostracism, disgraceful, tariff_bill, georgia, electoral, foreign_policy, alabama_arkansas, affirm, exist, essence, governmental_power, san, nullify, georgia_alabama, democratic_nomination, pervade, temper, indirect, objection, outrageous, displeased",0,2,0
2,terrorist,"civil_right, discernible, stony_follow, outlaws, restrain, unaccustomed, concussion, grim, rotten, dark_age, intimidation, brute_force, ostracism, motor, twentyfive_mile, practically_impossible, violent_resistance, solitary_confinement, impudent, unskilled_labor, violence_intimidation, tale, rationally, drawer_water, fatally",0,1,1
3,terrorism,"oxford_miss, synod, alabama_arkansas, legislation_pass, mississippi_alabama, terrorise, scarecrow, statesmen, overwhelmingly, suppression, east_west, congratulatory, denote, confer, motion_adjourn, propagandist, vive, indifference, eruption, dilate, oligarchy, platform_adopt, florida, shotgun, election_fraud",0,2,0
3,terrorist,"intent_purpose, practice, brute_force, absurd, scarecrow, colored_vote, compare, selfish, violence, atrocity, intimidation, anxious_avoid, feeling, riot_tumult, protective, despotism, reign_terror, feel_insecurity, lawless, ex_change, void, compass, ruffian, warm_reception, disbelieving",0,3,3
4,terrorism,"oxford_miss, outrage, louisiana_mississippi, dickinson, bulldozing, democratic_platform, alder, intimidation_violence, reign_terror_exist, presidential_election, repugnant, riot_tumult, arkansas, virginia_north_carolina, newspaper_editorial, infallible, mississippi, sow, practical_disfranchisement, riots, violence_intimidation, mississippi_louisiana, montgomery, rifle_club, operate",0,7,0
4,terrorist,"outrage, intimidation_violence, espionage, cruelty, background, klan, reign_terror, patronage, violence_intimidation, terror, riot_disorder, landlordism, pilgrimage, intimidation, spite, appeal_court, fraud_intimidation, sympathizer, obedience, chaos, discretion, peaceable_citizen, exasperation, deter, pay_expense",1,3,1
5,terrorism,"cette, north_south_carolina, throw_brick, internal_revenue, incorrect, unsolved, succeeding, diplomatic_post, shotgun, tom_mission, dermal, gear, disabilities, osborne, greed, eat_breakfast, wabash, gold_reserve, considered, intimidation_violence, solely_purpose, throughout_entire, publish, commercial_bank, conclusive_proof",0,1,0
5,terrorist,"repression, irresponsible, brute_force, landlordism, change_tone, poverty_ignorance, bestow_blessing, spy, congress_adjourn, prolonged, hateful, intent_purpose, oppressive_measure, broadcast, exasperation, faint_hope, coercion, unprecedented, unanimously_reverse, espionage, reign_terror, warfare, summarily, seem_likely, mixture",0,0,3
6,terrorism,"alabama_arkansas, criminal_prosecution, bidding, senator_north_carolina, throw_brick, give_indication, doors, unionism, georgia, lawfully_elect, hansom, ely, civil_liberty, north_south_carolina, legally_elect, election_campaign, georgia_alabama, riffraff, proprieties, turn_loose, seal, continuation, arkansas, fraud_intimidation, governments",0,4,0
6,terrorist,"riot_disorder, seem_likely, reign_terror, congress_adjourn, faint_hope, carnival, repression, pretence, sympathizer, fraud_intimidation, political_party, hannibal, terror, corrupt_influence, found, hateful, society_prevention, utmost_care, apparent_unanimity, pilgrimage, vigorous_campaign, notoriously, violence_intimidation, colored_voter, corruption",0,2,2
7,terrorism,"louisiana_mississippi, alabama, alabama_arkansas, florida_louisiana, total_loss, god_sake, presidential_canvass, chas, conformity, confident, quite_different, georgia_alabama, border_ruffian, interference, presidential_election, punishment, pollen, foreign_consul, violence_intimidation, nominal, vill, applaud, wyome, arkansas, restrain",0,5,0
7,terrorist,"pressure, entreat, provoke_hostility, utmost_care, oppressive_measure, riot_disorder, sympathizer, carnival, rural_district, congress_adjourn, pilgrimage, instrumental, peace_prosperity, detach, cooperate, intimidation, viva_voice, wholesale, bloodshed, wild_excitement, existence, landgrave, securely, quite_sure, federal_officeholder",0,1,0
8,terrorism,"bloody_shirt, election_fraud, adi, alabama_arkansas, god_sake, klan, foregoing, utterly_unable, substantiate, serve_pretext, outrage, voter_register, color_voter, supplementary, constitutional_amendment, justification_excuse, kansas_parish, peace_prosperity, outrage_commit, intima_nation, bulldoze, disorganize, criminal_prosecution, civil_right, attempt_coup",1,2,0
8,terrorist,"strong_feeling, psychological_torture, reign_terror, fraud_intimidation, incredulity, irresponsible, bestow_blessing, discrimination, violence_bloodshed, compulsory, revolt, itchy, respectfully_urge, england_scotland, repression, brigandage, violence, link, espionage, prior_arrival, unfortunately, eagerly_await, hateful, marvelous, louisiana_south_carolina",0,1,2
9,terrorism,"validity, south_west, create_sensation, trade_union, wholesale_massacre, greed, illusory, koch, transcript, phantom, whitman, problem, hugging, convert, prosecute, mandate, scarcely_imagine, louisiana_mississippi, extreme_measure, suis, proscription, ignore, juvenile, bolde, plume",0,1,0
9,terrorist,"mississippi_louisiana, outrage, amply_sufficient, lawless, reign_terror, system_devise, threat, utmost_care, unlawful, hateful, stringent, sympathizer, exceed_expectation, brigandage, espionage, benevolent_association, riot_disorder, intimidation, martial_law, violent_resistance, letter_carrier, poverty_ignorance, corruption, ex_pose, discernible",0,1,1
10,terrorism,"continuation, betwixt, north_south_carolina, freedmen, shade_opinion, color_voter, election_fraud, testimony, louisiana_mississippi, penetration, pressure, inconsistency, indignity, white_negro, sherman, arise, conceive_idea, unequivocal, forcible, fugitive_slave, democratic_platform, considerable_portion, talent, found_principle, eruption",0,3,0
10,terrorist,"hateful, intent_purpose, repression, public_school, browbeat, coercion, tyranny, sauce, denounced, bravado, brigandage, riot_disorder, postal, terrorise, half_population, mississippi_louisiana, poverty_ignorance, violence_intimidation, violence, military_dictatorship, extension, barbarous, provide_sufficient, lawlessness, counselling",0,0,2
11,terrorism,"due, georgia_alabama, demain, sawyer, throughout_entire, programme, florida_louisiana, extreme_caution, attempt_coup, acid, pacification, howard, undisguise, pack, personal_safety, corroborate, review, louisiana_mississippi, found_principle, friends, greater, depended, arkansas_mississippi, hippodrome, tomboy",0,3,0
11,terrorist,"rent_payment, hateful, selection_jury, glaring, sterling, internal_revenue, grim, continental, perfectly_innocent, fruitful, survive, entreat, coerce, domestic, ingratitude, fateful, public_sentiment, terrorise, establishe, motile, intent_purpose, discontent, ruthless, discrimination, lawless",0,0,0
12,terrorism,"invite_join, lawlessness, manor, preserved, oxford_miss, poky, klan, constitutional_convention, furnish_information, dram, advent, alabama_arkansas, mississippi, absolute_power, convention_nominate, applause_gentleman, violence_intimidation, munro, combat, defense, increase_number, essence, disclose, diffuse, thoroughly_disgusted",1,2,0
12,terrorist,"electoral_fraud, rotten, recreation, widespread, benevolent_association, wholesale_scale, provoke_hostility, enfranchised, strong_feeling, dual, fruitful, prior_arrival, solitary_confinement, resort, gideon, violence_intimidation, fraud_intimidation, surveillance, violence_bloodshed, brigandage, intimidation, powerful, contentment, impossible, discontent",0,2,0
